"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"carros.nlogo"
"densidad_flujo"
"10/26/2024 14:51:22:496 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-3","3"
"[run number]","velocidad-inicial","numero_de_carros","aceleracion","posicion-inicial","desaceleracion","[step]","metrica_flujo"
"2","aleatoria","1","0.0045","aleatoria","0.026","850","1"
"5","aleatoria","1","0.0045","aleatoria","0.026","1400","0.9629629629629629"
"4","aleatoria","1","0.0045","aleatoria","0.026","1350","0.9615384615384616"
"2","aleatoria","1","0.0045","aleatoria","0.026","900","1"
"5","aleatoria","1","0.0045","aleatoria","0.026","1450","0.9642857142857143"
"4","aleatoria","1","0.0045","aleatoria","0.026","1400","0.9629629629629629"
"2","aleatoria","1","0.0045","aleatoria","0.026","950","1"
"5","aleatoria","1","0.0045","aleatoria","0.026","1500","0.9655172413793104"
"4","aleatoria","1","0.0045","aleatoria","0.026","1450","0.9642857142857143"
"2","aleatoria","1","0.0045","aleatoria","0.026","1000","1"
"5","aleatoria","1","0.0045","aleatoria","0.026","1550","0.9666666666666667"
"4","aleatoria","1","0.0045","aleatoria","0.026","1500","0.9655172413793104"
"2","aleatoria","1","0.0045","aleatoria","0.026","1050","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1550","0.9666666666666667"
"2","aleatoria","1","0.0045","aleatoria","0.026","1100","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1600","0.967741935483871"
"2","aleatoria","1","0.0045","aleatoria","0.026","1150","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1650","0.96875"
"2","aleatoria","1","0.0045","aleatoria","0.026","1200","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1700","0.9696969696969697"
"2","aleatoria","1","0.0045","aleatoria","0.026","1250","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1750","0.9705882352941176"
"2","aleatoria","1","0.0045","aleatoria","0.026","1300","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1800","0.9714285714285714"
"2","aleatoria","1","0.0045","aleatoria","0.026","1350","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1850","0.9722222222222222"
"2","aleatoria","1","0.0045","aleatoria","0.026","1400","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1900","0.972972972972973"
"2","aleatoria","1","0.0045","aleatoria","0.026","1450","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1950","0.9736842105263158"
"2","aleatoria","1","0.0045","aleatoria","0.026","1500","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","2000","0.9743589743589743"
"2","aleatoria","1","0.0045","aleatoria","0.026","1550","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","2050","0.975"
"2","aleatoria","1","0.0045","aleatoria","0.026","1600","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","2100","0.975609756097561"
"2","aleatoria","1","0.0045","aleatoria","0.026","1650","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","2150","0.9761904761904762"
"2","aleatoria","1","0.0045","aleatoria","0.026","1700","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","2200","0.9767441860465116"
"2","aleatoria","1","0.0045","aleatoria","0.026","1750","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","2250","0.9772727272727273"
"2","aleatoria","1","0.0045","aleatoria","0.026","1800","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","2300","0.9777777777777777"
"2","aleatoria","1","0.0045","aleatoria","0.026","1850","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","2350","0.9782608695652174"
"2","aleatoria","1","0.0045","aleatoria","0.026","1900","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","2400","0.9787234042553191"
"4","aleatoria","1","0.0045","aleatoria","0.026","2450","0.9791666666666666"
"2","aleatoria","1","0.0045","aleatoria","0.026","1950","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","2500","0.9795918367346939"
"2","aleatoria","1","0.0045","aleatoria","0.026","2000","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","2550","0.98"
"2","aleatoria","1","0.0045","aleatoria","0.026","2050","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","2600","0.9803921568627451"
"2","aleatoria","1","0.0045","aleatoria","0.026","2100","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","2650","0.9807692307692307"
"2","aleatoria","1","0.0045","aleatoria","0.026","2150","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","2700","0.9811320754716981"
"2","aleatoria","1","0.0045","aleatoria","0.026","2200","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","2750","0.9814814814814815"
"6","aleatoria","1","0.0045","aleatoria","0.026","1800","0.9428571428571428"
"2","aleatoria","1","0.0045","aleatoria","0.026","2250","0.9772727272727273"
"4","aleatoria","1","0.0045","aleatoria","0.026","2800","0.9818181818181818"
"6","aleatoria","1","0.0045","aleatoria","0.026","1850","0.9444444444444444"
"2","aleatoria","1","0.0045","aleatoria","0.026","2300","0.9777777777777777"
"4","aleatoria","1","0.0045","aleatoria","0.026","2850","0.9821428571428571"
"6","aleatoria","1","0.0045","aleatoria","0.026","1900","0.9459459459459459"
"2","aleatoria","1","0.0045","aleatoria","0.026","2350","0.9782608695652174"
"4","aleatoria","1","0.0045","aleatoria","0.026","2900","0.9824561403508771"
"6","aleatoria","1","0.0045","aleatoria","0.026","1950","0.9473684210526315"
"2","aleatoria","1","0.0045","aleatoria","0.026","2400","0.9787234042553191"
"4","aleatoria","1","0.0045","aleatoria","0.026","2950","0.9827586206896551"
"6","aleatoria","1","0.0045","aleatoria","0.026","2000","0.9487179487179487"
"2","aleatoria","1","0.0045","aleatoria","0.026","2450","0.9791666666666666"
"4","aleatoria","1","0.0045","aleatoria","0.026","3000","0.9830508474576272"
"7","aleatoria","1","0.0045","aleatoria","0.026","0","0"
"6","aleatoria","1","0.0045","aleatoria","0.026","2050","0.95"
"2","aleatoria","1","0.0045","aleatoria","0.026","2500","0.9795918367346939"
"7","aleatoria","1","0.0045","aleatoria","0.026","50","0"
"6","aleatoria","1","0.0045","aleatoria","0.026","2100","0.9512195121951219"
"2","aleatoria","1","0.0045","aleatoria","0.026","2550","0.98"
"7","aleatoria","1","0.0045","aleatoria","0.026","100","1"
"6","aleatoria","1","0.0045","aleatoria","0.026","2150","0.9523809523809523"
"2","aleatoria","1","0.0045","aleatoria","0.026","2600","0.9803921568627451"
"7","aleatoria","1","0.0045","aleatoria","0.026","150","0.5"
"2","aleatoria","1","0.0045","aleatoria","0.026","2650","0.9807692307692307"
"6","aleatoria","1","0.0045","aleatoria","0.026","2200","0.9534883720930233"
"7","aleatoria","1","0.0045","aleatoria","0.026","200","0.6666666666666666"
"2","aleatoria","1","0.0045","aleatoria","0.026","2700","0.9811320754716981"
"6","aleatoria","1","0.0045","aleatoria","0.026","2250","0.9545454545454546"
"7","aleatoria","1","0.0045","aleatoria","0.026","250","0.75"
"2","aleatoria","1","0.0045","aleatoria","0.026","2750","0.9814814814814815"
"6","aleatoria","1","0.0045","aleatoria","0.026","2300","0.9555555555555556"
"7","aleatoria","1","0.0045","aleatoria","0.026","300","0.8"
"6","aleatoria","1","0.0045","aleatoria","0.026","2350","0.9565217391304348"
"7","aleatoria","1","0.0045","aleatoria","0.026","350","0.8333333333333334"
"6","aleatoria","1","0.0045","aleatoria","0.026","2400","0.9574468085106383"
"7","aleatoria","1","0.0045","aleatoria","0.026","400","0.8571428571428571"
"6","aleatoria","1","0.0045","aleatoria","0.026","2450","0.9583333333333334"
"3","aleatoria","1","0.0045","aleatoria","0.026","2100","0.9512195121951219"
"7","aleatoria","1","0.0045","aleatoria","0.026","450","0.875"
"6","aleatoria","1","0.0045","aleatoria","0.026","2500","0.9591836734693877"
"3","aleatoria","1","0.0045","aleatoria","0.026","2150","0.9523809523809523"
"7","aleatoria","1","0.0045","aleatoria","0.026","500","0.8888888888888888"
"6","aleatoria","1","0.0045","aleatoria","0.026","2550","0.96"
"3","aleatoria","1","0.0045","aleatoria","0.026","2200","0.9534883720930233"
"7","aleatoria","1","0.0045","aleatoria","0.026","550","0.9"
"6","aleatoria","1","0.0045","aleatoria","0.026","2600","0.9607843137254902"
"1","aleatoria","1","0.0045","aleatoria","0.026","400","0.7142857142857143"
"3","aleatoria","1","0.0045","aleatoria","0.026","2250","0.9545454545454546"
"7","aleatoria","1","0.0045","aleatoria","0.026","600","0.9090909090909091"
"6","aleatoria","1","0.0045","aleatoria","0.026","2650","0.9615384615384616"
"1","aleatoria","1","0.0045","aleatoria","0.026","450","0.75"
"3","aleatoria","1","0.0045","aleatoria","0.026","2300","0.9555555555555556"
"7","aleatoria","1","0.0045","aleatoria","0.026","650","0.9166666666666666"
"6","aleatoria","1","0.0045","aleatoria","0.026","2700","0.9622641509433962"
"7","aleatoria","1","0.0045","aleatoria","0.026","700","0.9230769230769231"
"3","aleatoria","1","0.0045","aleatoria","0.026","2350","0.9565217391304348"
"1","aleatoria","1","0.0045","aleatoria","0.026","500","0.7777777777777778"
"6","aleatoria","1","0.0045","aleatoria","0.026","2750","0.9629629629629629"
"7","aleatoria","1","0.0045","aleatoria","0.026","750","0.9285714285714286"
"3","aleatoria","1","0.0045","aleatoria","0.026","2400","0.9574468085106383"
"1","aleatoria","1","0.0045","aleatoria","0.026","550","0.8"
"6","aleatoria","1","0.0045","aleatoria","0.026","2800","0.9636363636363636"
"7","aleatoria","1","0.0045","aleatoria","0.026","800","0.9333333333333333"
"3","aleatoria","1","0.0045","aleatoria","0.026","2450","0.9583333333333334"
"5","aleatoria","1","0.0045","aleatoria","0.026","1600","0.967741935483871"
"6","aleatoria","1","0.0045","aleatoria","0.026","2850","0.9642857142857143"
"1","aleatoria","1","0.0045","aleatoria","0.026","600","0.8181818181818182"
"7","aleatoria","1","0.0045","aleatoria","0.026","850","0.9375"
"3","aleatoria","1","0.0045","aleatoria","0.026","2500","0.9591836734693877"
"5","aleatoria","1","0.0045","aleatoria","0.026","1650","0.96875"
"6","aleatoria","1","0.0045","aleatoria","0.026","2900","0.9649122807017544"
"1","aleatoria","1","0.0045","aleatoria","0.026","650","0.8333333333333334"
"7","aleatoria","1","0.0045","aleatoria","0.026","900","0.9411764705882353"
"3","aleatoria","1","0.0045","aleatoria","0.026","2550","0.96"
"5","aleatoria","1","0.0045","aleatoria","0.026","1700","0.9696969696969697"
"6","aleatoria","1","0.0045","aleatoria","0.026","2950","0.9655172413793104"
"1","aleatoria","1","0.0045","aleatoria","0.026","700","0.8461538461538461"
"7","aleatoria","1","0.0045","aleatoria","0.026","950","0.9444444444444444"
"3","aleatoria","1","0.0045","aleatoria","0.026","2600","0.9607843137254902"
"5","aleatoria","1","0.0045","aleatoria","0.026","1750","0.9705882352941176"
"6","aleatoria","1","0.0045","aleatoria","0.026","3000","0.9661016949152542"
"8","aleatoria","1","0.0045","aleatoria","0.026","0","0"
"1","aleatoria","1","0.0045","aleatoria","0.026","750","0.8571428571428571"
"7","aleatoria","1","0.0045","aleatoria","0.026","1000","0.9473684210526315"
"3","aleatoria","1","0.0045","aleatoria","0.026","2650","0.9615384615384616"
"5","aleatoria","1","0.0045","aleatoria","0.026","1800","0.9714285714285714"
"8","aleatoria","1","0.0045","aleatoria","0.026","50","0"
"1","aleatoria","1","0.0045","aleatoria","0.026","800","0.8666666666666667"
"7","aleatoria","1","0.0045","aleatoria","0.026","1050","0.95"
"3","aleatoria","1","0.0045","aleatoria","0.026","2700","0.9622641509433962"
"5","aleatoria","1","0.0045","aleatoria","0.026","1850","0.9722222222222222"
"8","aleatoria","1","0.0045","aleatoria","0.026","100","1"
"1","aleatoria","1","0.0045","aleatoria","0.026","850","0.875"
"7","aleatoria","1","0.0045","aleatoria","0.026","1100","0.9523809523809523"
"3","aleatoria","1","0.0045","aleatoria","0.026","2750","0.9629629629629629"
"5","aleatoria","1","0.0045","aleatoria","0.026","1900","0.972972972972973"
"8","aleatoria","1","0.0045","aleatoria","0.026","150","0.5"
"7","aleatoria","1","0.0045","aleatoria","0.026","1150","0.9545454545454546"
"1","aleatoria","1","0.0045","aleatoria","0.026","900","0.8823529411764706"
"3","aleatoria","1","0.0045","aleatoria","0.026","2800","0.9636363636363636"
"5","aleatoria","1","0.0045","aleatoria","0.026","1950","0.9736842105263158"
